Asset/Liability,Cur,2021,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,2022,Expenses,AVG,Cast
Net Worth,,,,,,,,,,,,,,,,,,
Stocks / ETF,,,,,,,,,,,,,,,,Guide,,
VT,D,"182,886","174,267","169,439","172,193","163,373","164,180","149,772","160,232","180,018","193,256","205,580","222,607","211,166","211,166",,,
VYM,D,"50,477","50,184","49,446","50,513","48,389","50,090","45,765","47,871","57,074","61,672","69,212","73,548","70,337","70,337",,,
VYMI,D,"214,976","219,808","215,392","216,384","204,320","208,000","188,224","191,264","195,976","202,956","213,915","238,290","232,323","232,323",,,
ERUS,D,0,0,0,"8,060","8,060","8,060","8,060","8,060",40,40,40,40,40,40,,,
VTV,D,"143,610","142,765","142,925","144,890","140,700","144,090","131,880","138,550","134,840","135,828","151,767","160,864","154,407","154,407",,,
VSS,D,"53,588","50,476","49,492","49,556","45,884","46,248","41,284","43,728","41,684","37,124","38,484","42,840","51,405","51,405",,,
VBR,D,"71,616","68,384","69,496","70,376","65,916","67,144","59,928","65,816","64,008","57,360","64,244","67,816","63,520","63,520",,,
KO,D,"57,500","57,500","57,500","60,000","60,000","60,000","61,000",0,0,0,0,0,0,0,,,
SONY,D,"12,633","11,166","10,253","10,271","8,605","9,407","8,177","8,539","7,935","6,405","6,747","8,307","7,628","7,628",,,
INTEL,D,"25,795","24,410","23,850","24,780","21,795","22,210","18,705","18,155","15,960","12,885","14,215","15,035","13,215","13,215",,,
CHEK,D,"8,375","9,234","9,882","7,800","7,200","7,200","6,200","6,200","7,000","5,800","4,800","3,460","2,200","2,200",,,
IMMR,D,"5,710","5,170","5,320","5,560","4,670","5,560","5,340","5,650","5,960","5,490","5,340","7,260",0,0,,,
BABA,D,0,0,0,0,0,"18,000",0,0,0,0,0,0,0,0,,,
3A - 99% Stocks,,,,,,,,,,,,,,,,,,
3A - Mr - FinPension - 1,F,"50,497","47,258","46,875","48,830","46,957","45,662","42,382","44,182","43,763","40,215","42,484","44,052","42,148","42,148",,,
3A - Mr - FinPension - 2,F,"41,883","39,196","38,879","40,500","38,946","37,873","35,152","43,556","43,133","39,623","41,868","43,407","41,525","41,525",,,
3A - Mrs - FinPension,F,"33,311","31,175","30,922","32,113","30,880","30,030","27,872","29,078","28,796","26,452","27,951","28,880","27,507","27,507",,,
2A - Mr - Viac global 100,F,0,0,0,0,0,0,"226,456","235,690","233,833","214,367","227,251","234,702","225,356","225,356",,,
Expected Taxes,F,"-8,170","-7,646","-7,584","-7,894","-7,591","-7,382","-21,571","-22,913","-22,719","-20,843","-22,071","-22,818","-21,875","-21,875",,,
VBA - 80% Stocks,,,,,,,,,,,,,,,,,,
2A - Mr - ValuePension,F,0,0,"150,719","157,000","151,949","147,296","136,584","142,607","141,639","129,423","136,862","140,748","133,367","133,367",,,
2A - Mrs - Viac Sust80,F,"4,536","4,310","4,237","4,355","4,313","4,147","3,901","4,031","3,987","3,687","3,858","3,945","3,818","3,818",,,
Expected Taxes,F,-295,-280,"-10,072","-10,488","-10,157","-9,844","-9,132","-9,531","-9,466","-8,652","-9,147","-9,405","-8,917","-8,917",,,
